University,University Type,Release,Title,Link,Additional Information,Course/ Syllabus Links,Category,Format,Pages,No of classes covering privacy,Privacy Defn,Privacy Threats,Privacy Solutions
University of Wisconsin-Madison,Doctoral-R1,No,Advanced Computer Security and Privacy,https://canvas.wisc.edu/courses/396286,,,,,,8,"- Privacy breach: formal definitions. What does it mean to de-anonymize a record r? The naive answer is to find the “right” anonymized record in the public sample Dˆ . This is hard to capture formally, however, because it requires assumptions about the data publishing process (e.g., what if Dˆ contains two copies of every original record?). Fundamentally, the adversary’s objective is is to learn as much as he can about r’s attributes that he doesn’t already know. We give two different (but related) formal definitions, because there are two distinct scenarios for privacy breaches in large databases
- Privacy advice is only effective if it considers the specific needs of the target population.
- ""I don’t like those [cybercafes] that are open . . . you have a computer here and then there’s no partition. It’s just like somewhere where you can find some privacy and do your work without somebody peeping at what you’re doing."".","- Email can be routinely and automatically scanned for interesting keywords, on a vast scale, without detection. This is like driftnet fishing. And exponential growth in computer power is making the same thing possible with voice traffic.
- direct access to unhashed passwords, which carries privacy concerns
- Inadvertent exposure of the sensitive information in the logs.
- privacy vulnerability (e.g., a weak password)
- intimate threats, describe a class of common threats to a person’s privacy and security, who can leverage their physical and psychological proximity to a person to cause harm
- Their privacy is only at risk if the adversary deploys additional (costly) means to associate identities with collected background knowledge. For instance, the adversary could attempt to combine data from surveillance cameras with facial recognition techniques to learn who is whom.
- A particularly sensitive privacy issue arises from the manner in which wireless devices identify access points within close proximity. Traditionally, devices perform active scanning where they broadcast probe request frames asking nearby APs to identify themselves and respond with 802.11 parameter information required for connection setup. These probe request frames require a source MAC address, but if an 802.11 device uses its globally unique MAC address then it is effectively broadcasting its identity at all times to any wireless receiver that is nearby. Wireless device users can then easily be tracked across temporal and spatial boundaries as their devices are transmitting with their unique identity.
- deanonymization attacks against high-dimensional micro-data, such as individual preferences, recommendations, transaction records and so on.
- The MAC address is a crucial part of WiFi communication, being included in every link-layer frame that is sent to or from the device. This unfortunately poses a glaring privacy problem because any third party eavesdropping on nearby WiFi traffic can uniquely identify nearby cellphones, and their traffic, through their MAC addresses.","- PGP empowers people to take their privacy into their own hands. If you use PGP and follow reasonable precautions, the attacker will have to expend far more effort and expense to violate your privacy.  PGP gives you Pretty Good Privacy. PGP - An application and protocol (RFC 1991) for secure e-mail and file encryption
- PEM (Privacy Enhanced Mail) - A protocol to provide secure internet mail, (RFC 1421-1424) including services for encryption, authentication, message integrity, and key management. PEM uses ANSI X.509 certificates
- PGP/MIME - An IETF standard (RFC 2015) that provides privacy and authentication using the Multipurpose Internet Mail Extensions (MIME) security content types described in RFC1847, currently deployed in PGP 5.0 and later versions.
- SSL - Developed by Netscape to provide security and privacy over the Internet. Supports server and client authentication and maintains the security and integrity of the transmission channel. Operates at the transport layer and mimics the “sockets library,” allowing it to be application independent. Encrypts the entire communication channel and does not support digital signatures at the message level.
- TLS - An IETF draft, version 1 is based on the Secure Sockets Layer (SSL) version 3.0 protocol, and provides communications privacy over the Internet.
- Acheive email privacy with encryption
- The only way to hold the line on privacy in the information age is strong cryptography.
- Privacy-preserving approach to collecting a password distribution for statistical analysis (Section IV). By hashing each password at the time of collection with a secret key that is destroyed prior to our analysis, we preserve the password histogram exactly with no risk to user privacy.
- Might I Get Pwned"" (MIGP), a new kind of breach alerting service. MIGP preserves user privacy and limits potential exposure of sensitive breach entries. 
- To protect the privacy of users, Gossamer anonymizes the usernames before storing in the persistent database by encrypting them using a deterministic encryption scheme. The encryption key is only accessible from within the measurement service. The deterministic nature of encryption allows us to cross-reference the logins against a username without knowing the actual username, while also allowing us to report compromised usernames to the security engineers, should we discover any.
- Privacy-preserving technologies like end-to-end encryption provide many capabilities including secrecy, deniability, and untraceability. Secrecy precludes platforms from performing content-based analysis and filtering. Deniability compounds the difficulty of targets being able to collect and provide evidence of hate and harassment.
- Design concepts from the privacy community can also protect users from surveillance or lockout and control. For example, delegated access to a user’s sensitive information (e.g., location, photos) might expire without that user’s explicit re-approval. This mirrors recent strategies such as automatically deleting a user’s location history after a set period
- Ensures data minimization. The central server only observes anonymous identifiers of COVID-19 positive users without any proximity information. Health authorities learn no information except that provided when a user reaches out to them after being notified.
- Prevents abuse of data. As the central server receives the minimum amount of information tailored to its requirements, it can neither misuse the collected data for other purposes, nor can it be coerced or subpoenaed to make other data available.
- Prevents tracking of users. No entity can track users that have not reported a positive diagnosis. Depending on the implementation chosen, others can only track COVID-19 positive users in a small geographical region limited by their capability to deploy infrastructure that can receive broadcasted Bluetooth beacons.
- Graceful dismantling. The system will dismantle itself after the end of the epidemic. COVID-19 positive users will stop uploading their data to the central server, and people will stop using the app. Data on the server and in the apps is
removed after 14 days.
- The proximity tracing process is supported by a backend server that distributes anonymous exposure information to the app running on each phone. This backend server is trusted to not add information (i.e., to not add fake exposure events) nor remove information (i.e., to not remove exposure events) and to be available. The backend acts solely as a communication platform and does not perform any processing. It is untrusted with regards to protecting users’ privacy. In other words, the privacy of the users in the system does not depend on the actions of this server. Even if the server is compromised or seized, their privacy remains intact.
-  Other mitigation techniques could include the use of Private Information Retrieval and Private Set Intersection techniques
- Direct anonymous attestation scheme (DAA) - scheme adopted by the Trusted Computing Group as the method for  remote authentication of a hardware module, called  trusted platform module  (TPM),  while preserving the privacy of the user of the platform that contains the module.
- Media Access Control (MAC) address randomization is a privacy technique whereby mobile devices rotate through random hardware addresses in order to prevent observers from singling out their traffic or physical location from other nearby devices.
-  Several managers also indicated that they have physical partitions at the cybercafe for customers’ privacy
- To combat this privacy concern, both Android and Apple iOS operating systems allow for devices in a disassociated state to use random, locally assigned MAC addresses when performing active scans. Since the MAC address is now random, users gain a measure of anonymity up until they associate with an AP"
University of Wisconsin-Madison,Doctoral-R1,No,Program Verification and Synthesis,https://pages.cs.wisc.edu/~cs703-1/#schedule,,,,,,0,-,-,-
Philander Smith College,Baccalaureate-DiverseFields,No,Computer Security & Privacy,https://drive.google.com/file/d/1VnIPiVTeTv4OKA-yfmA8ItqSgXjSX91w/view?usp=sharing,,,,,,0,-,-,-
Princeton University,Doctoral-R1,No,Computers in Our World,https://www.cs.princeton.edu/courses/archive/fall23/cos109/,,,,,,4,,,
North Carolina State University at Raleigh,Doctoral-R1,No,Network Security,https://people.csc.ncsu.edu/whenck/csc474/f23/,,,,,,0,-,- Ransomware,"- GPG: The GNU Privacy guard
- Wired Equivalent Privacy (WEP)
- Encrypted SNI (Server Name Indication) was the original proposal to protect SNI privacy.
- Split VPN"
North Carolina State University at Raleigh,Doctoral-R1,No,Cybersecurity Topics,https://drive.google.com/file/d/1-bxDl547KTIHBHjfE43Qcis2F9MPUdfg/view?usp=sharing,,,,,,3,,,
Brown University,MastersCollegesAndUniversities-M2,No,Applied Cryptography,https://cs.brown.edu/courses/csci1515/spring-2024/,,,,,,2,"- Differential privacy : Whatever an adversary learns about you, she could have learned from the rest of the dataset (in particular, even if you didn’t participate). Note that this does not say that the adversary does not learn anything about you; indeed, learning about the population implies learning about individuals. For example, if an adversary learns that smoking correlates with lung cancer (the kind of fact that differential privacy is meant to allow learning) and knows that you smoke, it can deduce that you are more likely to get lung cancer. However, such a deduction is not because of the use of your data in the differentially private mechanism, and thus may not be considered a privacy violation. The mechanism will not leak a significant amount of information specific to an individual (or a small group, as we’ll see in the next section). Consequently, differential privacy is not an achievable privacy notion if the goal of the analysis is to take an action on a specific individual in the dataset (e.g. to identify a candidate for a drug trial, or a potential terrorist, or a promising customer).","- model-inversion attack
- Reconstruction Attacks - attack that reconstructs almost all of the dataset
","- Federated Learning
- Secure agregation protocol  - a practical protocol for securely aggregating data while ensuring that clients’ inputs are only learned by the server in aggregate.
- Differential privacy
- “anonymize” the dataset by removing obvious identifiers, such as name, address, and date of birth, and then share the anonymized dataset."
University of California-Berkeley,Doctoral-R1,No,"""The Beauty and Joy of Computing",https://cs10.org/sp24/,,,,,,0,-,-,-
University of Georgia,Doctoral-R1,No,Cyber Security,https://www.mustakim.info/uga_cyber_security/syllabus.pdf,,,,,,3,"- Security is about keeping unwanted traffic from entering one’s network. Privacy is about keeping wanted information from leaving one’s network.
- Privacy is Essential for Survival. Required for strategy, to compete over limited resources. Example: play a game while revealing to other players his hand or strategy. Privacy reflects the autonomy and free will of the individual. Example: in Christianity, individual choice between good and evil. Privacy provides a mechanism for “forgetting” or not knowing of some forms of indiscretions. Example: “go west young man”.
- A key component of privacy is the notion of anonymity","- HTTP Referer may leak privacy-sensitive information
- Data Theft: What personal data can leave device
- Mobile devices make attractive targets for Location privacy issues",- Origin header: Alternative to Referer with fewer privacy problems.
Brown University,Doctoral-R1,No,Privacy-Conscious Computer Systems,https://cs.brown.edu/courses/csci2390/2023/schedule.html,,,,,,21,,,
University of Tulsa,Doctoral-R2,No,Intro to Cyber Security,https://drive.google.com/drive/folders/1l7fsgDg0A5YvLco_y3xOOjB27YSibNWJ?usp=sharing,,,,,,1,"- Privacy is the ability and/or right to protect your personal information and extends to the ability and/or right to prevent invasions of your personal space (the exact definition of which varies quite sharply from one country to another)
- Privacy is the claim of individuals, groups and institutions to determine for themselves, when, how and to what extent information about them is communicated to others
- 3 dimensions of privacy (Simone Fischer-Hübner) Personal privacy: protecting a person against undue interference and information that violates moral sense. Territorial privacy: protecting physical area surrounding a person that may not be violated without person’s acquiescence. Informational privacy: deals with the gathering, compilation and selective dissemination of information
- Privacy is secrecy for the benefit of the individual
- Privacy usually requires both secrecy and anonymity. 
- In many countries, privacy is viewed as a fundamental human right. But definitions and protections vary widely. At the least, privacy rights extend to the home and to communications secrecy
- United States: “Privacy is the right to be left alone” - Justice Louis Brandeis
- UK: “the right of an individual to be protected against intrusion into his personal life or affairs by direct physical means or by publication of information
- Australia: “Privacy is a basic human right and the reasonable expectation of every person""",,"- Privacy and data protection laws promoted by governments
- Self-regulation for fair information practices through codes of conducts promoted by businesses
- Privacy-enhancing technologies (PETs) adopted by individuals
- Privacy education of consumers and IT professionals
- Technical controls: privacy enhancing technologies. Protecting user identities. Protecting confidentiality & integrity of personal data
- Legal controls
- PET : Tor
- Privacy laws"
University of Idaho,Doctoral-R2,No,Semantic Web and Open Data,https://drive.google.com/drive/folders/13edinqVgR9wyH72aZeMvNr4wk3_N4_MZ,,,Suggested textbook,,,0,-,"- Publishing someone’s email address is considered a violation of privacy, since email addresses (and chat IDs) can be used to pester or even attack someone by sending unwanted, offensive, or just bulky mail.",- The SHA-1 function is publicly available but very difficult to reverse and can used to protect sensitive information while sharing data.
Amherst College,Baccalaureate-ArtsAndSciences,No,Information Theory,,,,,,,0,-,-,-
University of South Florida,Doctoral-R1,No,PRIVACY-PRESERVING AND TRUSTWORTHY CYBER-INFRASTRUCTURES,https://drive.google.com/file/d/1_ozSXUIV1FsfgCPxxhrZL2p6IKJtR_Rl/view?usp=drive_link,,,,,,2,- Protect data and systems from unauthorized access and cyber-attacks.,"- Unauthorized access and theft of data stored in databases, public repositories, and other storage systems.","- This course then focuses on privacy-enhancing technologies such as encrypted
databases, searchable encryption, and oblivious random access.
- The privacy enhancing technologies include but not limited to searchable
encryption, and private information retrieval methods.
- Advanced authentication methods include delay-aware and resource-limited (heterogeneous) authentication schemes.
- The use of cryptographic methods to defend cyber-attacks against computer
systems."
Southern Connecticut State University,MastersCollegesAndUniversities-M1,No,COMPUTER ETHICS,https://drive.google.com/file/d/1cPYy9jXeRThRU58BruWROzt8T7SfB1vK/view?usp=drive_link,,,Blogs,,,2,-,-,-
New Mexico State University-Dona Ana,Associates-MixedTransfer/Career&Technical-MixedTraditional/Nontraditional,No,Computing Ethics and Social Implications of Computing,https://docs.google.com/document/d/1C-w-ycBdFl_ZP4aUTz--BB-0YP2Vd2mQ/edit?usp=drive_link&ouid=109178796343356996296&rtpof=true&sd=true,,,Recommended textbook,,,-,"- We will see that some ethicists believe personal privacy is a value that has both intrinsic and instrumental attributes.
- Contrast this view with descriptions of privacy as something that can be intruded upon or invaded, where privacy can be understood in terms of a spatial metaphor, such as a zone, that deserves protection.
- Alternatively, privacy is sometimes described as something that can be violated or breached, when we think of it in terms of either a right or an interest that deserves legal protection. 
- Privacy was understood in terms of freedom from (physical) intrusion. Later it became associated with freedom from interference into one’s personal affairs, including one’s ability to make decisions freely. Most recently, privacy has come to be closely identified with concerns affecting access to and control of personal information—a view that is also referred to as “informational privacy.“
-  Helen Nissenbaum (2004a, 2010) elaborates on the notion of a context in her model of privacy as “contextual integrity,” where she links adequate privacy protection to “norms of specific contexts.”","- Chip X (a super chip; a hypothetical scenario) will also enable the manufacturer to monitor certain activities of those users whose computers contain the chip in ways that pose serious threats to personal privacy.
- We examine some issues that affect a relatively new category of privacy called “location privacy,” which arise because of the use of embedded chips, RFID technology, and global positioning systems (GPS).
- Activities involving the monitoring and recording of an individual’s activities while visiting a Web site and the subsequent downloading of that information onto a user’s computer (without informing the user).
- Some privacy advocates also point out that information gathered about a user via cookies can eventually be acquired by online advertising agencies, which can then target that user for online ads.
- Cookies technology also raises concerns involving encroachment or intrusion into a user’s physical space as well as privacy concerns regarding the clandestine method used to gather data about users who visit Web sites.
- RFID technology can be used for tracking the owners of the items that have these tags.
- The company had quietly reversed an earlier policy by which it provided businesses with only anonymous data about Internet users (acquired from cookies files). 
- Net security gained in the use of biometrics is not commensurate with the loss of privacy and civil liberties for individuals.
- In filling out the various governmental forms, you agreed to give some information to each government agency. It is by no means clear, however, that you authorized information given to any one agency to be exchanged with other agencies... Practices involving computerized matching of records containing personal data raise serious threats for personal privacy.
- Unauthorized internal use by data users—that data mining raises serious concerns for personal privacy.
- Search engine-related privacy issues also arise because that technology can be used for questionable purposes such as stalking.
- The use of search engines can threaten the privacy of individuals in two distinct ways: (1) by recording and archiving records of a user’s search queries that reveal the topic of the search and the time the request was made by the user and (2) by providing users of search engines with personal information about individuals who may have no idea of the wealth of personal information about them that is available online (and have no control over how it is accessed and by whom it is accessed). 
-  violating the privacy of its customers by using code that created a “backdoor” into their customers’ machines.
- The aggregation of personal genetic data, via data mining, can generate privacy issues affecting “new groups” and “new facts” about individuals.","- An example of (b) is encryption tools that encode and decode e-mail messages. 
- Some PETs enable users to navigate the Internet either anonymously or pseudony- mously; one of the best-known anonymity tools is available from Anonymizer.com. 
- TrackMeNot instead uses “noise and obfuscation.” In this way, a user’s Web searches become “lost in a cloud of false leads.”
- Many e-commerce sites now provide users with a stated privacy policy that is backed by certified “trustmarks” or trust seals.
- An industry-backed (self-regulatory) initiative called TRUSTe was designed to help ensure that Web sites adhere to the privacy policies they advertise. 
- Many nations have enacted strong privacy legislation. "
